stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,vehicle_type,platform_code,level_id,mta_stop_id,regional_fare_card,tts_stop_name
5767,Karveliškės,54.862867,25.423357,,,5767,"https://www.visimarsrutai.lt/#/stop/result?stopId=5767",,,,,,,,,,
5770,"Airėnai II",54.843941,24.928137,,,5770,"https://www.visimarsrutai.lt/#/stop/result?stopId=5770",,,,,,,,,,
5790,Gegužinė,54.859634,25.443374,,,5790,"https://www.visimarsrutai.lt/#/stop/result?stopId=5790",,,,,,,,,,
5828,Slabada,54.540693,25.316377,,,5828,"https://www.visimarsrutai.lt/#/stop/result?stopId=5828",,,,,,,,,,
5843,Raudondvaris,54.826763,25.274722,,,5843,"https://www.visimarsrutai.lt/#/stop/result?stopId=5843",,,,,,,,,,
5847,Europa,54.860350,24.903789,,,5847,"https://www.visimarsrutai.lt/#/stop/result?stopId=5847",,,,,,,,,,
5848,Pranciškonys,54.873211,25.307767,,,5848,"https://www.visimarsrutai.lt/#/stop/result?stopId=5848",,,,,,,,,,
5849,Pašiliai,54.844482,25.283312,,,5849,"https://www.visimarsrutai.lt/#/stop/result?stopId=5849",,,,,,,,,,
5850,Vėtrungė,54.837904,25.464442,,,5850,"https://www.visimarsrutai.lt/#/stop/result?stopId=5850",,,,,,,,,,
5858,"1-ieji Leičiai",54.750426,25.081521,,,5858,"https://www.visimarsrutai.lt/#/stop/result?stopId=5858",,,,,,,,,,
5873,Užuežerė,54.795921,25.098848,,,5873,"https://www.visimarsrutai.lt/#/stop/result?stopId=5873",,,,,,,,,,
5875,Kelmytė,54.551701,25.313717,,,5875,"https://www.visimarsrutai.lt/#/stop/result?stopId=5875",,,,,,,,,,
5876,"2-ieji Avižieniai",54.763158,25.163693,,,5876,"https://www.visimarsrutai.lt/#/stop/result?stopId=5876",,,,,,,,,,
5933,Totorinė,54.575906,25.315754,,,5933,"https://www.visimarsrutai.lt/#/stop/result?stopId=5933",,,,,,,,,,
5941,Gulbinai,54.791219,25.275603,,,5941,"https://www.visimarsrutai.lt/#/stop/result?stopId=5941",,,,,,,,,,
5945,Kineliai,54.595291,25.313818,,,5945,"https://www.visimarsrutai.lt/#/stop/result?stopId=5945",,,,,,,,,,
5946,Pakalniškiai,54.911401,24.833804,,,5946,"https://www.visimarsrutai.lt/#/stop/result?stopId=5946",,,,,,,,,,
5947,"Kaukiškio k.",54.936109,24.841778,,,5947,"https://www.visimarsrutai.lt/#/stop/result?stopId=5947",,,,,,,,,,
5966,Kunigiškiai,54.922800,24.837618,,,5966,"https://www.visimarsrutai.lt/#/stop/result?stopId=5966",,,,,,,,,,
5970,Šventininkai,54.584013,25.064095,,,5970,"https://www.visimarsrutai.lt/#/stop/result?stopId=5970",,,,,,,,,,
5981,"2-ieji Avižieniai",54.763477,25.163002,,,5981,"https://www.visimarsrutai.lt/#/stop/result?stopId=5981",,,,,,,,,,
6014,Tvankiškės,54.698896,25.681135,,,6014,"https://www.visimarsrutai.lt/#/stop/result?stopId=6014",,,,,,,,,,
6020,Trečiokiškės,54.835711,24.998849,,,6020,"https://www.visimarsrutai.lt/#/stop/result?stopId=6020",,,,,,,,,,
6022,Kemeliai,54.858136,25.011494,,,6022,"https://www.visimarsrutai.lt/#/stop/result?stopId=6022",,,,,,,,,,
6048,Pailgė,54.906053,25.571246,,,6048,"https://www.visimarsrutai.lt/#/stop/result?stopId=6048",,,,,,,,,,
6142,"Jociūnų st.",54.489936,25.551800,,,6142,"https://www.visimarsrutai.lt/#/stop/result?stopId=6142",,,,,,,,,,
6147,Pamiškiai,54.709132,25.666841,,,6147,"https://www.visimarsrutai.lt/#/stop/result?stopId=6147",,,,,,,,,,
6150,"Alaburdiškių st.",54.512693,25.620877,,,6150,"https://www.visimarsrutai.lt/#/stop/result?stopId=6150",,,,,,,,,,
6153,Kemeliai,54.857811,25.010354,,,6153,"https://www.visimarsrutai.lt/#/stop/result?stopId=6153",,,,,,,,,,
6165,Koplyčnikai,54.717256,25.095816,,,6165,"https://www.visimarsrutai.lt/#/stop/result?stopId=6165",,,,,,,,,,
6166,"40 km",54.862970,25.213140,,,6166,"https://www.visimarsrutai.lt/#/stop/result?stopId=6166",,,,,,,,,,
6169,Bubos,54.768669,25.023207,,,6169,"https://www.visimarsrutai.lt/#/stop/result?stopId=6169",,,,,,,,,,
6174,Družiliai,54.921744,25.620360,,,6174,"https://www.visimarsrutai.lt/#/stop/result?stopId=6174",,,,,,,,,,
6191,"Rimošių st.",54.444446,25.569347,,,6191,"https://www.visimarsrutai.lt/#/stop/result?stopId=6191",,,,,,,,,,
6197,Naujasėdžiai,54.555140,25.605098,,,6197,"https://www.visimarsrutai.lt/#/stop/result?stopId=6197",,,,,,,,,,
6205,"Medininkų st.",54.542367,25.649341,,,6205,"https://www.visimarsrutai.lt/#/stop/result?stopId=6205",,,,,,,,,,
6206,Punžunys,54.862424,25.682910,,,6206,"https://www.visimarsrutai.lt/#/stop/result?stopId=6206",,,,,,,,,,
6213,"Valčiūnai III",54.549332,25.259229,,,6213,"https://www.visimarsrutai.lt/#/stop/result?stopId=6213",,,,,,,,,,
6224,"Drebulynės st.",54.447183,25.547887,,,6224,"https://www.visimarsrutai.lt/#/stop/result?stopId=6224",,,,,,,,,,
6225,Šiaudinė,54.568682,25.263207,,,6225,"https://www.visimarsrutai.lt/#/stop/result?stopId=6225",,,,,,,,,,
6235,Kernavė,54.889246,24.851895,,,6235,"https://www.visimarsrutai.lt/#/stop/result?stopId=6235",,,,,,,,,,
